"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 00:00","2018","12","01","00:00","","-2.4","","-5.9","","77","","","","27","","6","","24.1","","100.99","","","","-5","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 01:00","2018","12","01","01:00","","-2.6","","-5.9","","78","","","","28","","7","","24.1","","101.02","","","","-5","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 02:00","2018","12","01","02:00","","-2.6","","-5.8","","79","","","","30","","6","","24.1","","101.05","","","","-5","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 03:00","2018","12","01","03:00","","-2.7","","-6.1","","77","","","","30","","6","","24.1","","101.07","","","","-5","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 04:00","2018","12","01","04:00","","-2.7","","-5.7","","80","","","","28","","5","","24.1","","101.10","","","","-5","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 05:00","2018","12","01","05:00","","-2.8","","-5.2","","83","","","","25","","13","","24.1","","101.11","","","","-7","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 06:00","2018","12","01","06:00","","-2.8","","-5.1","","84","","","","25","","9","","24.1","","101.13","","","","-6","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 07:00","2018","12","01","07:00","","-2.8","","-5.5","","82","","","","26","","5","","24.1","","101.20","","","","-5","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 08:00","2018","12","01","08:00","","-3.2","","-5.4","","84","","","","24","","14","","48.3","","101.32","","","","-8","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 09:00","2018","12","01","09:00","","-2.6","","-5.3","","82","","","","24","","13","","48.3","","101.40","","","","-7","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 10:00","2018","12","01","10:00","","-2.3","","-5.1","","81","","","","25","","16","","48.3","","101.42","","","","-7","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 11:00","2018","12","01","11:00","","-2.0","","-4.8","","81","","","","26","","8","","48.3","","101.33","","","","-5","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 12:00","2018","12","01","12:00","","-1.7","","-5.2","","77","","","","24","","16","","48.3","","101.29","","","","-7","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 13:00","2018","12","01","13:00","","-1.5","","-4.6","","80","","","","22","","11","","24.1","","101.26","","","","-5","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 14:00","2018","12","01","14:00","","-1.7","","-5.1","","78","","","","23","","12","","32.2","","101.29","","","","-6","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 15:00","2018","12","01","15:00","","-1.9","","-4.8","","81","","","","22","","18","","32.2","","101.36","","","","-7","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 16:00","2018","12","01","16:00","","-1.5","","-4.4","","80","","","","25","","14","","32.2","","101.40","","","","-6","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 17:00","2018","12","01","17:00","","-1.5","","-4.1","","83","","","","24","","14","","24.1","","101.42","","","","-6","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 18:00","2018","12","01","18:00","","-1.6","","-3.9","","84","","","","24","","10","","24.1","","101.45","","","","-5","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-12-01 19:00","2018","12","01","19:00","","-1.7","","-3.8","","86","","","","25","","7","","24.1","","101.44","","","","-4","","Mostly Cloudy"
