"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 00:00","2020","06","01","00:00","","2.6","","-0.6","","80","","","","26","","13","","24.1","","100.94","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 01:00","2020","06","01","01:00","","3.3","","-0.3","","77","","","","30","","7","","24.1","","100.95","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 02:00","2020","06","01","02:00","","0.7","","-0.9","","89","","","","7","","5","","24.1","","101.01","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 03:00","2020","06","01","03:00","","0.0","","-1.2","","92","","","","","","0","","24.1","","101.02","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 04:00","2020","06","01","04:00","","0.9","","-0.3","","92","","","","28","","3","","48.3","","101.04","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 05:00","2020","06","01","05:00","","1.7","","0.4","","91","","","","24","","14","","48.3","","101.14","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 06:00","2020","06","01","06:00","","5.8","","1.0","","71","","","","26","","9","","48.3","","101.15","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 07:00","2020","06","01","07:00","","7.1","","-1.7","","53","","","","29","","7","","48.3","","101.18","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 08:00","2020","06","01","08:00","","7.7","","-1.8","","51","","","","26","","9","","48.3","","101.16","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 09:00","2020","06","01","09:00","","9.8","","0.3","","52","","","","21","","12","","48.3","","101.10","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 10:00","2020","06","01","10:00","","10.0","","0.8","","53","","","","21","","21","","48.3","","101.03","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 11:00","2020","06","01","11:00","","10.3","","0.9","","52","","","","21","","19","","48.3","","100.98","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 12:00","2020","06","01","12:00","","11.5","","1.2","","49","","","","23","","18","","48.3","","100.90","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 13:00","2020","06","01","13:00","","11.8","","0.5","","45","","","","26","","16","","48.3","","100.83","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 14:00","2020","06","01","14:00","","11.7","","2.2","","52","","","","22","","16","","48.3","","100.81","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 15:00","2020","06","01","15:00","","11.7","","4.2","","60","","","","22","","16","","48.3","","100.81","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 16:00","2020","06","01","16:00","","11.1","","2.8","","56","","","","24","","14","","48.3","","100.79","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 17:00","2020","06","01","17:00","","11.7","","3.2","","56","","","","35","","6","","48.3","","100.76","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 18:00","2020","06","01","18:00","","10.3","","6.6","","77","","","","25","","6","","48.3","","100.79","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 19:00","2020","06","01","19:00","","9.5","","5.8","","77","","","","26","","7","","48.3","","100.82","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 20:00","2020","06","01","20:00","","6.1","","5.0","","93","","","","33","","4","","24.1","","100.89","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 21:00","2020","06","01","21:00","","5.6","","4.5","","92","","","","3","","3","","24.1","","100.94","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 22:00","2020","06","01","22:00","","4.3","","3.3","","93","","","","34","","4","","24.1","","100.95","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-01 23:00","2020","06","01","23:00","","4.5","","2.8","","89","","","","36","","4","","24.1","","100.93","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 00:00","2020","06","02","00:00","","4.6","","1.5","","81","","","","36","","10","","24.1","","100.87","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 01:00","2020","06","02","01:00","","3.5","","0.9","","83","","","","36","","8","","24.1","","100.85","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 02:00","2020","06","02","02:00","","3.4","","0.2","","79","","","","35","","8","","24.1","","100.87","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 03:00","2020","06","02","03:00","","2.4","","-0.1","","83","","","","35","","4","","24.1","","100.88","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 04:00","2020","06","02","04:00","","2.0","","-0.5","","84","","","","36","","9","","48.3","","100.87","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 05:00","2020","06","02","05:00","","3.4","","-0.3","","77","","","","36","","7","","48.3","","100.88","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 06:00","2020","06","02","06:00","","6.0","","0.8","","70","","","","33","","5","","48.3","","100.86","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 07:00","2020","06","02","07:00","","7.9","","3.0","","71","","","","24","","4","","48.3","","100.81","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 08:00","2020","06","02","08:00","","10.8","","3.5","","61","","","","22","","7","","48.3","","100.75","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 09:00","2020","06","02","09:00","","12.3","","4.3","","58","","","","19","","7","","48.3","","100.66","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 10:00","2020","06","02","10:00","","15.0","","4.4","","49","","","","20","","22","","48.3","","100.56","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 11:00","2020","06","02","11:00","","15.8","","2.3","","40","","","","24","","14","","48.3","","100.46","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 12:00","2020","06","02","12:00","","16.7","","-1.0","","30","","","","22","","25","","48.3","","100.35","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 13:00","2020","06","02","13:00","","17.2","","0.5","","32","","","","21","","32","","48.3","","100.23","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 14:00","2020","06","02","14:00","","18.2","","1.0","","31","","","","22","","32","","48.3","","100.12","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 15:00","2020","06","02","15:00","","18.3","","1.7","","33","","","","25","","30","","48.3","","100.02","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-06-02 16:00","2020","06","02","16:00","","17.3","","1.5","","34","","","","24","","35","","48.3","","99.97","","","","","","Mainly Clear"
