"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 00:00","2017","02","01","00:00","","-17.1","","-20.4","","76","","","","2","","15","","24.1","","100.31","","","","-26","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 01:00","2017","02","01","01:00","","-17.7","","-21.0","","76","","","","1","","5","","24.1","","100.30","","","","-22","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 02:00","2017","02","01","02:00","","-18.0","","-21.6","","74","","","","1","","11","","24.1","","100.30","","","","-25","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 03:00","2017","02","01","03:00","","-17.9","","-21.3","","75","","","","2","","8","","24.1","","100.29","","","","-24","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 04:00","2017","02","01","04:00","","-18.2","","-21.6","","75","","","","2","","6","","24.1","","100.25","","","","-23","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 05:00","2017","02","01","05:00","","-18.5","","-21.9","","75","","","","4","","11","","22.5","","100.24","","","","-26","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 06:00","2017","02","01","06:00","","-18.4","","-22.0","","74","","","","3","","9","","24.1","","100.26","","","","-25","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 07:00","2017","02","01","07:00","","-18.6","","-22.0","","75","","","","2","","8","","32.2","","100.28","","","","-25","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 08:00","2017","02","01","08:00","","-18.0","","-21.4","","75","","","","2","","9","","24.1","","100.23","","","","-24","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 09:00","2017","02","01","09:00","","-16.1","","-20.2","","71","","","","1","","8","","24.1","","100.20","","","","-22","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 10:00","2017","02","01","10:00","","-12.2","","-15.6","","76","","","","5","","10","","24.1","","100.18","","","","-18","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 11:00","2017","02","01","11:00","","-9.8","","-12.3","","82","","","","8","","14","","16.1","","100.11","","","","-16","","Snow Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2017-02-01 12:00","2017","02","01","12:00","","-8.5","","-11.5","","79","","","","8","","17","","16.1","","100.04","","","","-15","","NA"
