"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 00:00","2019","09","01","00:00","","12.1","","6.0","","66","","","","31","","8","","24.1","","101.80","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 01:00","2019","09","01","01:00","","7.7","","5.7","","87","","","","16","","4","","24.1","","101.84","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 02:00","2019","09","01","02:00","","7.2","","6.3","","94","","","","","","0","","24.1","","101.86","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 03:00","2019","09","01","03:00","","7.3","","6.1","","92","","","","36","","9","","24.1","","101.88","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 04:00","2019","09","01","04:00","","7.9","","5.9","","87","","","","35","","10","","24.1","","101.90","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 05:00","2019","09","01","05:00","","7.4","","5.6","","88","","","","34","","9","","48.3","","101.95","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 06:00","2019","09","01","06:00","","8.4","","5.8","","83","","","","34","","7","","48.3","","101.98","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 07:00","2019","09","01","07:00","","11.1","","7.0","","75","","","","","","0","","48.3","","102.06","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 08:00","2019","09","01","08:00","","12.5","","8.3","","75","","","","27","","4","","48.3","","102.05","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 09:00","2019","09","01","09:00","","14.6","","8.7","","68","","","","26","","4","","48.3","","102.05","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 10:00","2019","09","01","10:00","","16.8","","8.5","","58","","","","25","","9","","48.3","","102.03","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 11:00","2019","09","01","11:00","","17.5","","9.3","","58","","","","26","","7","","48.3","","101.96","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 12:00","2019","09","01","12:00","","18.4","","7.6","","49","","","","18","","9","","48.3","","101.91","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 13:00","2019","09","01","13:00","","19.0","","8.4","","50","","","","18","","8","","48.3","","101.81","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 14:00","2019","09","01","14:00","","19.5","","9.2","","51","","","","20","","12","","48.3","","101.73","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 15:00","2019","09","01","15:00","","19.8","","9.5","","51","","","","25","","4","","48.3","","101.61","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 16:00","2019","09","01","16:00","","19.8","","8.8","","49","","","","21","","5","","48.3","","101.54","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 17:00","2019","09","01","17:00","","19.9","","9.2","","50","","","","","","0","","48.3","","101.49","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 18:00","2019","09","01","18:00","","16.6","","10.5","","67","","","","36","","5","","48.3","","101.43","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 19:00","2019","09","01","19:00","","13.1","","11.9","","92","","","","33","","5","","48.3","","101.40","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 20:00","2019","09","01","20:00","","14.1","","11.1","","82","","","","35","","11","","24.1","","101.33","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 21:00","2019","09","01","21:00","","12.6","","10.9","","89","","","","2","","4","","24.1","","101.29","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 22:00","2019","09","01","22:00","","12.7","","10.0","","84","","","","35","","9","","24.1","","101.24","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-01 23:00","2019","09","01","23:00","","12.6","","9.9","","84","","","","1","","10","","24.1","","101.21","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 00:00","2019","09","02","00:00","","12.1","","10.2","","88","","","","1","","4","","24.1","","101.17","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 01:00","2019","09","02","01:00","","12.1","","10.1","","88","","","","1","","3","","24.1","","101.11","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 02:00","2019","09","02","02:00","","11.9","","10.2","","89","","","","3","","3","","24.1","","101.06","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 03:00","2019","09","02","03:00","","11.7","","10.8","","94","","","","","","0","","24.1","","100.98","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 04:00","2019","09","02","04:00","","12.1","","11.2","","94","","","","","","0","","24.1","","100.92","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 05:00","2019","09","02","05:00","","12.6","","11.8","","95","","","","5","","7","","9.7","","100.83","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 06:00","2019","09","02","06:00","","13.0","","12.7","","98","","","","3","","7","","4.0","","100.75","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 07:00","2019","09","02","07:00","","14.2","","13.9","","98","","","","7","","11","","4.0","","100.67","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 08:00","2019","09","02","08:00","","14.5","","14.2","","98","","","","8","","9","","4.0","","100.58","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 09:00","2019","09","02","09:00","","14.8","","14.4","","97","","","","12","","4","","3.6","","100.52","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 10:00","2019","09","02","10:00","","15.3","","15.1","","98","","","","","","0","","3.2","","100.47","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 11:00","2019","09","02","11:00","","15.9","","15.5","","98","","","","22","","6","","3.2","","100.41","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 12:00","2019","09","02","12:00","","16.5","","16.1","","97","","","","24","","10","","4.8","","100.37","","","","","","Rain,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 13:00","2019","09","02","13:00","","17.1","","16.5","","96","","","","23","","16","","24.1","","100.30","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 14:00","2019","09","02","14:00","","17.3","","16.7","","97","","","","24","","13","","4.8","","100.27","","","","","","Drizzle,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 15:00","2019","09","02","15:00","","18.0","","16.9","","93","","","","22","","9","","16.1","","100.25","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 16:00","2019","09","02","16:00","","19.3","","17.4","","89","","","","24","","10","","40.2","","100.27","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 17:00","2019","09","02","17:00","","18.9","","16.9","","88","","","","22","","12","","32.2","","100.27","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 18:00","2019","09","02","18:00","","17.8","","16.8","","94","","","","21","","5","","32.2","","100.31","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 19:00","2019","09","02","19:00","","17.2","","16.5","","96","","","","23","","7","","19.3","","100.32","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 20:00","2019","09","02","20:00","","16.6","","15.2","","91","","","","22","","18","","14.5","","100.33","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 21:00","2019","09","02","21:00","","15.5","","14.4","","93","","","","26","","6","","24.1","","100.38","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 22:00","2019","09","02","22:00","","15.2","","12.5","","84","","","","36","","7","","24.1","","100.48","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-02 23:00","2019","09","02","23:00","","14.6","","11.1","","80","","","","4","","5","","24.1","","100.54","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 00:00","2019","09","03","00:00","","14.0","","10.4","","79","","","","","","0","","24.1","","100.63","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 01:00","2019","09","03","01:00","","13.0","","9.1","","77","","","","34","","8","","24.1","","100.68","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 02:00","2019","09","03","02:00","","11.2","","8.7","","84","","","","36","","9","","24.1","","100.64","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 03:00","2019","09","03","03:00","","11.1","","8.4","","84","","","","","","0","","24.1","","100.71","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 04:00","2019","09","03","04:00","","11.3","","8.3","","82","","","","36","","4","","24.1","","100.79","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 05:00","2019","09","03","05:00","","10.8","","8.4","","85","","","","2","","5","","24.1","","100.88","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 06:00","2019","09","03","06:00","","11.0","","8.1","","82","","","","36","","4","","24.1","","100.97","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 07:00","2019","09","03","07:00","","11.6","","8.1","","79","","","","33","","4","","24.1","","101.01","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 08:00","2019","09","03","08:00","","12.5","","8.0","","74","","","","35","","6","","24.1","","101.06","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 09:00","2019","09","03","09:00","","13.8","","8.8","","72","","","","34","","4","","24.1","","101.05","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 10:00","2019","09","03","10:00","","14.3","","9.2","","71","","","","15","","3","","24.1","","101.05","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 11:00","2019","09","03","11:00","","14.4","","9.3","","71","","","","8","","11","","24.1","","101.00","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 12:00","2019","09","03","12:00","","15.7","","8.9","","63","","","","14","","5","","24.1","","100.99","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 13:00","2019","09","03","13:00","","17.5","","7.8","","53","","","","20","","12","","48.3","","100.93","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 14:00","2019","09","03","14:00","","18.0","","5.5","","43","","","","27","","13","","48.3","","100.93","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 15:00","2019","09","03","15:00","","16.9","","7.5","","53","","","","24","","6","","48.3","","100.88","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 16:00","2019","09","03","16:00","","16.4","","8.7","","60","","","","26","","8","","48.3","","100.88","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 17:00","2019","09","03","17:00","","16.0","","8.4","","60","","","","28","","5","","48.3","","100.82","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 18:00","2019","09","03","18:00","","13.7","","11.0","","84","","","","","","0","","48.3","","100.83","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 19:00","2019","09","03","19:00","","12.7","","11.8","","94","","","","31","","4","","24.1","","100.90","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 20:00","2019","09","03","20:00","","12.1","","10.7","","91","","","","","","0","","24.1","","100.84","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 21:00","2019","09","03","21:00","","12.8","","10.3","","85","","","","1","","5","","24.1","","100.78","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 22:00","2019","09","03","22:00","","12.8","","10.1","","84","","","","3","","7","","24.1","","100.72","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-03 23:00","2019","09","03","23:00","","12.6","","10.6","","87","","","","5","","8","","24.1","","100.62","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 00:00","2019","09","04","00:00","","13.6","","10.5","","82","","","","7","","16","","24.1","","100.54","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 01:00","2019","09","04","01:00","","13.8","","10.6","","81","","","","7","","18","","24.1","","100.41","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 02:00","2019","09","04","02:00","","14.0","","10.0","","77","","","","6","","15","","24.1","","100.30","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 03:00","2019","09","04","03:00","","14.4","","10.5","","77","","","","8","","22","","16.1","","100.17","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 04:00","2019","09","04","04:00","","13.3","","12.0","","92","","","","8","","20","","4.8","","100.05","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 05:00","2019","09","04","05:00","","13.1","","12.1","","94","","","","6","","16","","6.4","","99.98","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 06:00","2019","09","04","06:00","","13.1","","12.4","","96","","","","8","","18","","3.2","","99.92","","","","","","Moderate Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 07:00","2019","09","04","07:00","","13.3","","12.9","","97","","","","8","","22","","2.0","","99.83","","","","","","Thunderstorms,Moderate Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 08:00","2019","09","04","08:00","","14.4","","14.2","","99","","","","10","","11","","8.1","","99.71","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 09:00","2019","09","04","09:00","","15.2","","14.9","","98","","","","8","","5","","8.1","","99.60","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 10:00","2019","09","04","10:00","","17.9","","16.7","","93","","","","22","","6","","24.1","","99.58","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 11:00","2019","09","04","11:00","","18.6","","16.7","","88","","","","21","","20","","24.1","","99.54","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 12:00","2019","09","04","12:00","","19.1","","17.0","","87","","","","21","","25","","24.1","","99.47","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 13:00","2019","09","04","13:00","","20.2","","17.6","","84","","","","22","","28","","24.1","","99.40","","26","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 14:00","2019","09","04","14:00","","21.1","","17.3","","79","","","","21","","33","","24.1","","99.30","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 15:00","2019","09","04","15:00","","18.6","","17.7","","95","","","","24","","18","","24.1","","99.40","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 16:00","2019","09","04","16:00","","19.5","","18.1","","91","","","","24","","19","","32.2","","99.43","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 17:00","2019","09","04","17:00","","19.2","","16.1","","82","","","","26","","22","","48.3","","99.56","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 18:00","2019","09","04","18:00","","17.6","","14.7","","83","","","","25","","22","","48.3","","99.68","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 19:00","2019","09","04","19:00","","15.3","","12.3","","82","","","","27","","27","","24.1","","99.91","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 20:00","2019","09","04","20:00","","14.2","","9.9","","75","","","","27","","22","","24.1","","100.16","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 21:00","2019","09","04","21:00","","12.9","","8.5","","75","","","","28","","15","","24.1","","100.32","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 22:00","2019","09","04","22:00","","11.1","","8.2","","82","","","","26","","17","","24.1","","100.43","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-04 23:00","2019","09","04","23:00","","9.9","","8.2","","89","","","","25","","22","","24.1","","100.51","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-05 00:00","2019","09","05","00:00","","9.5","","7.8","","89","","","","25","","22","","24.1","","100.60","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-05 01:00","2019","09","05","01:00","","8.8","","7.6","","92","","","","27","","16","","24.1","","100.66","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-05 02:00","2019","09","05","02:00","","8.4","","7.4","","93","","","","26","","16","","24.1","","100.68","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-09-05 03:00","2019","09","05","03:00","","8.4","","7.3","","93","","","","26","","15","","24.1","","100.75","","","","","","NA"
