"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 00:00","2021","02","01","00:00","","-17.8","","-21.9","","71","","","","36","","9","","24.1","","101.86","","","","-24","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 01:00","2021","02","01","01:00","","-19.3","","-22.4","","77","","","","6","","4","","24.1","","101.87","","","","-23","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 02:00","2021","02","01","02:00","","-21.4","","-24.1","","79","","","","5","","5","","24.1","","101.89","","","","-26","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 03:00","2021","02","01","03:00","","-20.8","","-23.3","","81","","","","36","","3","","24.1","","101.84","","","","-23","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 04:00","2021","02","01","04:00","","-20.9","","-23.5","","80","","","","4","","7","","24.1","","101.81","","","","-27","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 05:00","2021","02","01","05:00","","-20.5","","-22.9","","81","","","","1","","5","","24.1","","101.81","","","","-25","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 06:00","2021","02","01","06:00","","-17.6","","-20.6","","77","","","","3","","7","","24.1","","101.81","","","","-23","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 07:00","2021","02","01","07:00","","-16.1","","-18.9","","79","","","","2","","7","","24.1","","101.82","","","","-21","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 08:00","2021","02","01","08:00","","-16.6","","-19.4","","79","","","","15","","7","","9.7","","101.89","","","","-22","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 09:00","2021","02","01","09:00","","-14.9","","-17.4","","82","","","","","","0","","9.7","","101.89","","","","","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 10:00","2021","02","01","10:00","","-12.8","","-15.2","","82","","","","3","","3","","8.1","","101.88","","","","-15","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 11:00","2021","02","01","11:00","","-9.3","","-11.5","","84","","","","4","","13","","16.1","","101.83","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 12:00","2021","02","01","12:00","","-6.0","","-8.9","","80","","","","7","","31","","32.2","","101.75","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 13:00","2021","02","01","13:00","","-5.0","","-7.9","","80","","","","7","","24","","24.1","","101.68","","","","-12","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-02-01 14:00","2021","02","01","14:00","","-4.3","","-8.0","","76","","","","7","","26","","24.1","","101.59","","","","-12","","NA"
