"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 00:00","2018","09","01","00:00","","13.4","","10.5","","82","","","","4","","9","","24.1","","101.72","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 01:00","2018","09","01","01:00","","12.4","","10.4","","87","","","","6","","7","","24.1","","101.71","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 02:00","2018","09","01","02:00","","12.5","","10.2","","86","","","","6","","10","","24.1","","101.69","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 03:00","2018","09","01","03:00","","12.9","","10.6","","86","","","","36","","5","","24.1","","101.73","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 04:00","2018","09","01","04:00","","13.3","","11.1","","86","","","","4","","6","","24.1","","101.71","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 05:00","2018","09","01","05:00","","13.1","","11.9","","93","","","","","","0","","4.8","","101.73","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 06:00","2018","09","01","06:00","","13.1","","12.8","","98","","","","4","","9","","2.4","","101.73","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 07:00","2018","09","01","07:00","","13.8","","13.5","","99","","","","4","","9","","2.4","","101.75","","","","","","Drizzle,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 08:00","2018","09","01","08:00","","14.4","","14.1","","98","","","","4","","9","","8.1","","101.73","","","","","","Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 09:00","2018","09","01","09:00","","15.5","","14.3","","93","","","","6","","13","","12.9","","101.71","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 10:00","2018","09","01","10:00","","17.1","","15.4","","89","","","","8","","12","","24.1","","101.63","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 11:00","2018","09","01","11:00","","17.9","","15.0","","83","","","","2","","8","","24.1","","101.62","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 12:00","2018","09","01","12:00","","19.1","","15.5","","79","","","","6","","5","","48.3","","101.56","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 13:00","2018","09","01","13:00","","21.1","","16.8","","76","","","","","","0","","48.3","","101.49","","26","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 14:00","2018","09","01","14:00","","21.8","","17.2","","75","","","","35","","3","","48.3","","101.50","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 15:00","2018","09","01","15:00","","22.9","","17.4","","71","","","","","","0","","40.2","","101.39","","28","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 16:00","2018","09","01","16:00","","23.5","","17.9","","71","","","","18","","3","","40.2","","101.28","","29","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 17:00","2018","09","01","17:00","","22.6","","20.3","","87","","","","","","0","","48.3","","101.26","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 18:00","2018","09","01","18:00","","21.3","","20.0","","92","","","","20","","4","","40.2","","101.19","","29","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 19:00","2018","09","01","19:00","","20.6","","19.4","","93","","","","","","0","","24.1","","101.19","","28","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 20:00","2018","09","01","20:00","","20.2","","18.8","","91","","","","","","0","","24.1","","101.19","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 21:00","2018","09","01","21:00","","21.3","","17.4","","78","","","","23","","10","","24.1","","101.21","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 22:00","2018","09","01","22:00","","20.5","","16.9","","80","","","","25","","7","","24.1","","101.19","","26","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-01 23:00","2018","09","01","23:00","","19.2","","16.6","","85","","","","25","","10","","24.1","","101.24","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-02 00:00","2018","09","02","00:00","","17.7","","16.4","","92","","","","25","","3","","24.1","","101.23","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-02 01:00","2018","09","02","01:00","","17.2","","16.3","","95","","","","31","","3","","24.1","","101.24","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-02 02:00","2018","09","02","02:00","","16.3","","15.9","","97","","","","","","0","","24.1","","101.22","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-09-02 03:00","2018","09","02","03:00","","16.9","","16.4","","97","","","","19","","4","","24.1","","101.20","","","","","","NA"
