"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 00:00","2021","01","01","00:00","","-6.7","","-12.1","","66","","","","26","","25","","24.1","","101.90","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 01:00","2021","01","01","01:00","","-9.0","","-13.3","","71","","","","25","","19","","24.1","","101.99","","","","-16","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 02:00","2021","01","01","02:00","","-8.9","","-13.2","","71","","","","23","","13","","24.1","","102.07","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 03:00","2021","01","01","03:00","","-9.0","","-13.2","","72","","","","27","","12","","24.1","","102.22","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 04:00","2021","01","01","04:00","","-9.8","","-13.8","","73","","","","25","","17","","24.1","","102.22","","","","-17","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 05:00","2021","01","01","05:00","","-10.9","","-14.1","","78","","","","25","","15","","24.1","","102.23","","","","-18","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 06:00","2021","01","01","06:00","","-11.1","","-14.6","","76","","","","25","","22","","24.1","","102.27","","","","-20","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 07:00","2021","01","01","07:00","","-11.8","","-14.8","","79","","","","25","","17","","48.3","","102.35","","","","-19","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 08:00","2021","01","01","08:00","","-10.9","","-13.6","","81","","","","22","","10","","24.1","","102.38","","","","-16","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 09:00","2021","01","01","09:00","","-9.5","","-13.0","","76","","","","23","","11","","9.7","","102.40","","","","-15","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 10:00","2021","01","01","10:00","","-8.3","","-11.6","","78","","","","25","","12","","8.1","","102.48","","","","-14","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 11:00","2021","01","01","11:00","","-7.6","","-10.8","","78","","","","24","","14","","8.1","","102.44","","","","-14","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 12:00","2021","01","01","12:00","","-7.6","","-10.7","","78","","","","25","","14","","32.2","","102.32","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 13:00","2021","01","01","13:00","","-6.0","","-9.4","","77","","","","23","","14","","8.1","","102.28","","","","-12","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 14:00","2021","01","01","14:00","","-6.1","","-9.9","","75","","","","22","","14","","40.2","","102.15","","","","-12","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 15:00","2021","01","01","15:00","","-5.5","","-9.1","","76","","","","24","","14","","32.2","","102.15","","","","-11","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 16:00","2021","01","01","16:00","","-6.5","","-9.5","","80","","","","27","","5","","32.2","","102.15","","","","-9","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 17:00","2021","01","01","17:00","","-7.0","","-9.6","","82","","","","23","","7","","24.1","","102.07","","","","-11","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 18:00","2021","01","01","18:00","","-7.6","","-9.8","","84","","","","4","","5","","24.1","","101.91","","","","-10","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2021-01-01 19:00","2021","01","01","19:00","","-8.2","","-9.9","","87","","","","2","","4","","16.1","","101.87","","","","-10","","Cloudy"
