"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 00:00","2020","02","01","00:00","","-10.6","","-12.8","","84","","","","33","","4","","24.1","","101.21","","","","-13","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 01:00","2020","02","01","01:00","","-9.8","","-12.2","","82","","","","31","","3","","24.1","","101.13","","","","-12","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 02:00","2020","02","01","02:00","","-8.7","","-10.8","","85","","","","","","0","","4.8","","101.04","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 03:00","2020","02","01","03:00","","-9.1","","-10.7","","88","","","","","","0","","4.8","","100.95","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 04:00","2020","02","01","04:00","","-8.6","","-9.9","","91","","","","21","","5","","4.8","","100.95","","","","-11","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 05:00","2020","02","01","05:00","","-8.4","","-9.8","","90","","","","","","0","","4.8","","100.89","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 06:00","2020","02","01","06:00","","-8.5","","-9.7","","91","","","","","","0","","8.1","","100.87","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 07:00","2020","02","01","07:00","","-8.6","","-9.9","","90","","","","31","","3","","6.4","","100.84","","","","-10","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 08:00","2020","02","01","08:00","","-7.5","","-8.9","","90","","","","33","","5","","9.7","","100.79","","","","-10","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 09:00","2020","02","01","09:00","","-6.8","","-8.9","","85","","","","","","0","","9.7","","100.71","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 10:00","2020","02","01","10:00","","-6.0","","-8.1","","85","","","","28","","4","","8.1","","100.72","","","","-8","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 11:00","2020","02","01","11:00","","-5.4","","-7.2","","88","","","","22","","12","","4.8","","100.67","","","","-10","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 12:00","2020","02","01","12:00","","-4.7","","-6.8","","85","","","","22","","13","","8.1","","100.53","","","","-10","","Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-02-01 13:00","2020","02","01","13:00","","-4.4","","-6.8","","84","","","","22","","10","","9.7","","100.43","","","","-9","","Snow,Fog"
