"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 00:00","2020","04","01","00:00","","1.1","","-2.5","","77","","","","7","","25","","24.1","","100.95","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 01:00","2020","04","01","01:00","","1.1","","-2.5","","77","","","","7","","20","","24.1","","100.91","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 02:00","2020","04","01","02:00","","0.9","","-2.1","","80","","","","6","","29","","24.1","","100.85","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 03:00","2020","04","01","03:00","","0.7","","-1.9","","82","","","","6","","28","","19.3","","100.81","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 04:00","2020","04","01","04:00","","0.9","","-1.8","","83","","","","7","","25","","24.1","","100.80","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 05:00","2020","04","01","05:00","","0.7","","-1.1","","88","","","","6","","20","","32.2","","100.77","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 06:00","2020","04","01","06:00","","0.6","","-0.6","","92","","","","7","","20","","9.7","","100.79","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 07:00","2020","04","01","07:00","","0.8","","-0.7","","89","","","","7","","27","","12.9","","100.75","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 08:00","2020","04","01","08:00","","1.1","","-0.8","","87","","","","7","","23","","16.1","","100.71","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 09:00","2020","04","01","09:00","","1.7","","-0.8","","83","","","","5","","20","","16.1","","100.69","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 10:00","2020","04","01","10:00","","1.8","","-0.8","","83","","","","6","","28","","8.1","","100.67","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 11:00","2020","04","01","11:00","","1.7","","0.0","","88","","","","7","","20","","6.4","","100.62","","","","","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 12:00","2020","04","01","12:00","","1.6","","-0.2","","88","","","","7","","22","","8.1","","100.60","","","","","","Rain,Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 13:00","2020","04","01","13:00","","1.9","","0.0","","88","","","","8","","14","","6.4","","100.55","","","","","","Rain,Snow,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 14:00","2020","04","01","14:00","","2.5","","-0.4","","81","","","","7","","25","","24.1","","100.52","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 15:00","2020","04","01","15:00","","1.6","","0.1","","90","","","","8","","19","","8.1","","100.50","","","","","","Rain,Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 16:00","2020","04","01","16:00","","1.7","","0.0","","88","","","","8","","18","","24.1","","100.49","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 17:00","2020","04","01","17:00","","1.5","","-0.5","","87","","","","8","","11","","32.2","","100.49","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 18:00","2020","04","01","18:00","","1.1","","-0.8","","87","","","","7","","18","","24.1","","100.51","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 19:00","2020","04","01","19:00","","1.0","","-1.0","","87","","","","8","","19","","24.1","","100.55","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 20:00","2020","04","01","20:00","","0.9","","-0.9","","88","","","","6","","15","","24.1","","100.53","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 21:00","2020","04","01","21:00","","0.8","","-0.8","","89","","","","6","","13","","24.1","","100.48","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 22:00","2020","04","01","22:00","","0.7","","-0.8","","90","","","","","","0","","24.1","","100.39","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-01 23:00","2020","04","01","23:00","","0.6","","-0.8","","90","","","","10","","9","","24.1","","100.37","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 00:00","2020","04","02","00:00","","0.7","","-0.6","","91","","","","4","","5","","24.1","","100.31","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 01:00","2020","04","02","01:00","","0.6","","-0.7","","91","","","","31","","4","","24.1","","100.31","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 02:00","2020","04","02","02:00","","0.2","","-0.8","","93","","","","30","","5","","24.1","","100.25","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 03:00","2020","04","02","03:00","","0.2","","-0.7","","94","","","","","","0","","24.1","","100.16","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 04:00","2020","04","02","04:00","","0.4","","-0.5","","94","","","","21","","5","","24.1","","100.13","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 05:00","2020","04","02","05:00","","0.3","","-0.4","","95","","","","20","","5","","24.1","","100.11","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 06:00","2020","04","02","06:00","","0.2","","-0.4","","96","","","","18","","3","","2.4","","100.13","","","","","","Rain Showers,Ice Pellet Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 07:00","2020","04","02","07:00","","0.3","","-0.2","","97","","","","28","","6","","4.8","","100.11","","","","","","Rain Showers,Snow Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-04-02 08:00","2020","04","02","08:00","","0.3","","-0.1","","97","","","","","","0","","6.4","","100.11","","","","","","Rain Showers,Fog"
