"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 00:00","2020","08","01","00:00","","17.0","","16.4","","96","","","","33","","3","","24.1","","100.31","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 01:00","2020","08","01","01:00","","16.8","","16.1","","96","","","","33","","8","","24.1","","100.32","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 02:00","2020","08","01","02:00","","16.5","","15.9","","96","","","","34","","7","","24.1","","100.33","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 03:00","2020","08","01","03:00","","16.0","","15.7","","98","","","","35","","6","","24.1","","100.33","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 04:00","2020","08","01","04:00","","15.0","","14.5","","97","","","","4","","4","","24.1","","100.38","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 05:00","2020","08","01","05:00","","16.0","","15.1","","95","","","","1","","7","","32.2","","100.44","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 06:00","2020","08","01","06:00","","16.9","","15.9","","93","","","","3","","7","","24.1","","100.47","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 07:00","2020","08","01","07:00","","18.4","","17.4","","94","","","","7","","6","","24.1","","100.51","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 08:00","2020","08","01","08:00","","19.4","","17.5","","88","","","","9","","10","","24.1","","100.55","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 09:00","2020","08","01","09:00","","20.4","","17.3","","82","","","","17","","4","","32.2","","100.58","","26","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 10:00","2020","08","01","10:00","","21.9","","18.2","","79","","","","18","","5","","32.2","","100.60","","28","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 11:00","2020","08","01","11:00","","23.5","","18.6","","73","","","","12","","6","","48.3","","100.58","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 12:00","2020","08","01","12:00","","25.5","","18.6","","65","","","","26","","6","","48.3","","100.54","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 13:00","2020","08","01","13:00","","26.5","","18.1","","59","","","","22","","8","","48.3","","100.51","","33","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 14:00","2020","08","01","14:00","","27.0","","16.1","","51","","","","17","","8","","48.3","","100.49","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 15:00","2020","08","01","15:00","","27.2","","16.1","","50","","","","20","","13","","48.3","","100.46","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 16:00","2020","08","01","16:00","","27.0","","15.3","","48","","","","21","","11","","48.3","","100.44","","31","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 17:00","2020","08","01","17:00","","27.4","","15.8","","48","","","","18","","7","","48.3","","100.43","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 18:00","2020","08","01","18:00","","25.7","","19.2","","67","","","","26","","7","","48.3","","100.44","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 19:00","2020","08","01","19:00","","22.5","","18.7","","78","","","","27","","4","","48.3","","100.45","","29","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 20:00","2020","08","01","20:00","","20.4","","19.3","","93","","","","","","0","","24.1","","100.50","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 21:00","2020","08","01","21:00","","20.2","","17.5","","84","","","","","","0","","24.1","","100.50","","26","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 22:00","2020","08","01","22:00","","19.6","","17.8","","89","","","","4","","4","","24.1","","100.56","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2020-08-01 23:00","2020","08","01","23:00","","18.1","","17.5","","96","","","","5","","4","","24.1","","100.57","","","","","","NA"
