"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 00:00","2018","08","01","00:00","","16.3","","15.8","","97","","","","","","0","","24.1","","100.94","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 01:00","2018","08","01","01:00","","16.5","","16.3","","99","","","","","","0","","24.1","","100.94","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 02:00","2018","08","01","02:00","","15.3","","15.2","","99","","","","","","0","","24.1","","100.94","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 03:00","2018","08","01","03:00","","16.2","","15.5","","96","","","","4","","3","","24.1","","100.94","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 04:00","2018","08","01","04:00","","16.1","","15.8","","98","","","","5","","4","","32.2","","100.97","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 05:00","2018","08","01","05:00","","16.8","","15.8","","94","","","","3","","3","","48.3","","100.96","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 06:00","2018","08","01","06:00","","18.6","","16.4","","87","","","","1","","8","","24.1","","100.97","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 07:00","2018","08","01","07:00","","20.3","","17.4","","83","","","","5","","7","","48.3","","100.93","","26","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 08:00","2018","08","01","08:00","","21.4","","17.4","","78","","","","4","","4","","48.3","","100.93","","27","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 09:00","2018","08","01","09:00","","23.4","","17.7","","70","","","","5","","8","","48.3","","100.88","","29","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 10:00","2018","08","01","10:00","","24.6","","19.2","","72","","","","7","","3","","48.3","","100.84","","32","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 11:00","2018","08","01","11:00","","25.4","","19.5","","69","","","","3","","5","","48.3","","100.78","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 12:00","2018","08","01","12:00","","26.6","","19.6","","65","","","","4","","5","","40.2","","100.70","","34","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 13:00","2018","08","01","13:00","","26.9","","20.2","","66","","","","19","","7","","40.2","","100.67","","35","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 14:00","2018","08","01","14:00","","26.5","","18.8","","62","","","","21","","18","","48.3","","100.67","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 15:00","2018","08","01","15:00","","25.9","","20.0","","70","","","","19","","5","","48.3","","100.56","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 16:00","2018","08","01","16:00","","24.9","","21.2","","80","","","","32","","5","","48.3","","100.56","","33","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 17:00","2018","08","01","17:00","","24.1","","20.4","","79","","","","36","","5","","48.3","","100.51","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 18:00","2018","08","01","18:00","","24.8","","19.6","","72","","","","14","","3","","48.3","","100.46","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 19:00","2018","08","01","19:00","","24.5","","20.3","","77","","","","16","","6","","48.3","","100.44","","32","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 20:00","2018","08","01","20:00","","23.3","","20.1","","82","","","","19","","4","","24.1","","100.41","","31","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 21:00","2018","08","01","21:00","","22.5","","20.5","","88","","","","","","0","","24.1","","100.44","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 22:00","2018","08","01","22:00","","23.1","","19.8","","81","","","","24","","7","","24.1","","100.42","","31","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-01 23:00","2018","08","01","23:00","","23.2","","19.4","","79","","","","21","","7","","24.1","","100.41","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 00:00","2018","08","02","00:00","","22.7","","19.3","","81","","","","18","","7","","24.1","","100.37","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 01:00","2018","08","02","01:00","","21.3","","19.9","","91","","","","25","","4","","16.1","","100.33","","29","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 02:00","2018","08","02","02:00","","21.1","","20.3","","95","","","","28","","6","","6.4","","100.30","","29","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 03:00","2018","08","02","03:00","","20.9","","20.4","","97","","","","","","0","","16.1","","100.29","","29","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 04:00","2018","08","02","04:00","","21.1","","20.5","","96","","","","24","","7","","16.1","","100.28","","29","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 05:00","2018","08","02","05:00","","21.0","","20.4","","97","","","","24","","6","","16.1","","100.28","","29","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 06:00","2018","08","02","06:00","","21.6","","20.6","","94","","","","24","","14","","16.1","","100.30","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 07:00","2018","08","02","07:00","","22.2","","21.0","","93","","","","23","","18","","24.1","","100.31","","31","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 08:00","2018","08","02","08:00","","23.3","","21.1","","87","","","","22","","32","","24.1","","100.31","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 09:00","2018","08","02","09:00","","23.9","","20.4","","81","","","","23","","32","","32.2","","100.28","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 10:00","2018","08","02","10:00","","24.1","","20.3","","79","","","","24","","22","","48.3","","100.34","","32","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 11:00","2018","08","02","11:00","","23.8","","20.3","","81","","","","24","","21","","24.1","","100.35","","32","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 12:00","2018","08","02","12:00","","25.1","","20.6","","76","","","","25","","34","","48.3","","100.36","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 13:00","2018","08","02","13:00","","21.8","","20.4","","92","","","","27","","16","","48.3","","100.44","","30","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 14:00","2018","08","02","14:00","","23.4","","21.0","","86","","","","25","","22","","48.3","","100.52","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 15:00","2018","08","02","15:00","","24.7","","19.4","","72","","","","28","","17","","48.3","","100.54","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 16:00","2018","08","02","16:00","","25.5","","18.9","","66","","","","27","","18","","48.3","","100.60","","32","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 17:00","2018","08","02","17:00","","25.3","","18.3","","65","","","","27","","10","","48.3","","100.65","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 18:00","2018","08","02","18:00","","24.8","","19.3","","71","","","","24","","11","","48.3","","100.67","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 19:00","2018","08","02","19:00","","21.6","","19.2","","86","","","","27","","5","","48.3","","100.70","","29","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 20:00","2018","08","02","20:00","","19.4","","18.6","","95","","","","26","","4","","24.1","","100.77","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 21:00","2018","08","02","21:00","","18.0","","17.6","","98","","","","25","","3","","24.1","","100.80","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 22:00","2018","08","02","22:00","","17.6","","17.4","","99","","","","","","0","","24.1","","100.83","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-02 23:00","2018","08","02","23:00","","18.2","","17.5","","95","","","","","","0","","24.1","","100.85","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 00:00","2018","08","03","00:00","","17.5","","17.1","","97","","","","","","0","","24.1","","100.85","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 01:00","2018","08","03","01:00","","17.0","","16.8","","99","","","","","","0","","24.1","","100.87","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 02:00","2018","08","03","02:00","","16.8","","16.6","","99","","","","","","0","","24.1","","100.91","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 03:00","2018","08","03","03:00","","16.9","","16.8","","100","","","","5","","3","","24.1","","100.91","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 04:00","2018","08","03","04:00","","16.8","","16.6","","98","","","","","","0","","24.1","","100.90","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 05:00","2018","08","03","05:00","","17.2","","16.7","","97","","","","6","","3","","24.1","","100.93","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 06:00","2018","08","03","06:00","","18.1","","17.2","","95","","","","","","0","","24.1","","100.95","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 07:00","2018","08","03","07:00","","19.9","","18.2","","90","","","","","","0","","24.1","","100.99","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 08:00","2018","08","03","08:00","","21.5","","19.5","","88","","","","25","","14","","19.3","","101.03","","29","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 09:00","2018","08","03","09:00","","22.6","","20.1","","85","","","","25","","16","","19.3","","101.05","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 10:00","2018","08","03","10:00","","23.1","","20.3","","84","","","","25","","15","","24.1","","101.06","","31","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 11:00","2018","08","03","11:00","","24.1","","20.4","","79","","","","25","","14","","32.2","","101.04","","32","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 12:00","2018","08","03","12:00","","24.7","","21.0","","80","","","","26","","14","","32.2","","101.06","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 13:00","2018","08","03","13:00","","25.4","","20.7","","75","","","","25","","17","","32.2","","101.05","","34","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 14:00","2018","08","03","14:00","","25.7","","20.1","","71","","","","24","","18","","32.2","","101.01","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 15:00","2018","08","03","15:00","","25.6","","20.3","","72","","","","23","","12","","32.2","","101.01","","33","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 16:00","2018","08","03","16:00","","25.1","","21.3","","79","","","","26","","10","","32.2","","101.00","","34","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 17:00","2018","08","03","17:00","","25.4","","21.3","","78","","","","26","","6","","40.2","","100.99","","34","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 18:00","2018","08","03","18:00","","24.4","","21.8","","85","","","","25","","5","","32.2","","100.98","","34","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 19:00","2018","08","03","19:00","","22.5","","21.7","","95","","","","","","0","","32.2","","101.00","","32","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 20:00","2018","08","03","20:00","","21.4","","21.0","","98","","","","30","","3","","24.1","","101.07","","30","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 21:00","2018","08","03","21:00","","21.0","","20.8","","99","","","","29","","3","","24.1","","101.10","","29","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2018-08-03 22:00","2018","08","03","22:00","","19.9","","19.8","","99","","","","","","0","","19.3","","101.08","","","","","","Mostly Cloudy"
