"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 00:00","2019","12","01","00:00","","-12.0","","-16.8","","68","","","","27","","11","","24.1","","100.86","","","","-18","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 01:00","2019","12","01","01:00","","-12.4","","-16.2","","73","","","","23","","8","","24.1","","100.84","","","","-17","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 02:00","2019","12","01","02:00","","-13.2","","-16.6","","76","","","","24","","5","","24.1","","100.87","","","","-17","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 03:00","2019","12","01","03:00","","-14.5","","-17.2","","80","","","","17","","9","","24.1","","100.88","","","","-20","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 04:00","2019","12","01","04:00","","-14.4","","-16.2","","86","","","","23","","10","","24.1","","100.89","","","","-21","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 05:00","2019","12","01","05:00","","-16.1","","-18.1","","85","","","","27","","8","","24.1","","100.89","","","","-22","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 06:00","2019","12","01","06:00","","-16.9","","-18.7","","86","","","","24","","5","","24.1","","100.94","","","","-21","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 07:00","2019","12","01","07:00","","-16.4","","-18.1","","88","","","","25","","9","","9.7","","101.04","","","","-22","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 08:00","2019","12","01","08:00","","-14.8","","-16.6","","86","","","","28","","5","","24.1","","101.09","","","","-18","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 09:00","2019","12","01","09:00","","-13.7","","-15.4","","87","","","","25","","10","","24.1","","101.07","","","","-20","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 10:00","2019","12","01","10:00","","-12.9","","-14.8","","86","","","","24","","9","","32.2","","101.06","","","","-18","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 11:00","2019","12","01","11:00","","-11.7","","-14.5","","80","","","","","","0","","40.2","","100.98","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 12:00","2019","12","01","12:00","","-9.4","","-14.2","","68","","","","","","0","","40.2","","100.92","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 13:00","2019","12","01","13:00","","-9.0","","-13.9","","68","","","","27","","4","","40.2","","100.90","","","","-11","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 14:00","2019","12","01","14:00","","-8.5","","-13.8","","66","","","","4","","5","","40.2","","100.79","","","","-11","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 15:00","2019","12","01","15:00","","-9.3","","-14.5","","66","","","","5","","10","","48.3","","100.72","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 16:00","2019","12","01","16:00","","-9.0","","-13.8","","69","","","","5","","8","","48.3","","100.74","","","","-13","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 17:00","2019","12","01","17:00","","-10.4","","-14.1","","74","","","","2","","7","","24.1","","100.77","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 18:00","2019","12","01","18:00","","-9.9","","-13.9","","73","","","","2","","8","","24.1","","100.81","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 19:00","2019","12","01","19:00","","-10.0","","-14.7","","69","","","","3","","8","","24.1","","100.76","","","","-14","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 20:00","2019","12","01","20:00","","-10.6","","-14.5","","73","","","","3","","7","","24.1","","100.78","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 21:00","2019","12","01","21:00","","-12.7","","-15.1","","83","","","","3","","3","","24.1","","100.77","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 22:00","2019","12","01","22:00","","-10.6","","-13.8","","78","","","","2","","9","","32.2","","100.71","","","","-16","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-01 23:00","2019","12","01","23:00","","-8.7","","-11.4","","81","","","","5","","17","","24.1","","100.68","","","","-16","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 00:00","2019","12","02","00:00","","-8.5","","-11.3","","80","","","","5","","19","","24.1","","100.63","","","","-16","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 01:00","2019","12","02","01:00","","-8.1","","-11.3","","78","","","","4","","13","","24.1","","100.57","","","","-14","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 02:00","2019","12","02","02:00","","-8.1","","-11.6","","76","","","","3","","13","","24.1","","100.57","","","","-14","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 03:00","2019","12","02","03:00","","-9.9","","-12.8","","80","","","","3","","9","","48.3","","100.61","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 04:00","2019","12","02","04:00","","-8.3","","-11.2","","80","","","","5","","22","","24.1","","100.61","","","","-16","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 05:00","2019","12","02","05:00","","-7.8","","-10.3","","82","","","","5","","18","","24.1","","100.59","","","","-15","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 06:00","2019","12","02","06:00","","-7.9","","-10.6","","81","","","","5","","24","","24.1","","100.60","","","","-16","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 07:00","2019","12","02","07:00","","-9.0","","-11.5","","82","","","","5","","19","","48.3","","100.65","","","","-16","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2019-12-02 08:00","2019","12","02","08:00","","-8.7","","-11.2","","82","","","","4","","16","","48.3","","100.65","","","","-15","","NA"
